,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
9059,2.0,4.0,52.4173298,4.8790686,4.0,1.0,3.0,3.0,245.0,3.0,365,3.0,3.0,365,365.0,3.0,365.0,8.0,11.0,27,198,0.0,0.0,0.0,5.0,5.0,4.0,4.9,5.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0
9060,8.0,10.0,52.3626192,4.877983899999999,4.0,0.0,0.0,0.0,436.0,1.0,365,1.0,3.0,365,365.0,1.0,365.0,5.0,15.0,23,258,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,8.0,0.0,0.3,0.0,1.0
9061,2.0,2.0,52.37561600000001,4.87242,2.0,0.5,1.0,1.0,116.0,1.0,120,1.0,2.0,1125,1125.0,1.0,1125.0,16.0,46.0,76,165,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,2.0,0.0,3.0
9062,2.0,2.0,52.38306,4.87351,2.0,1.0,1.0,1.0,220.0,1.0,365,1.0,1.0,365,365.0,1.0,365.0,0.0,0.0,0,43,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,0.0,3.0
9063,8.0,10.0,52.363625354431214,4.878912915006092,4.0,1.0,0.0,0.0,626.0,1.0,365,1.0,3.0,365,365.0,1.0,365.0,2.0,18.0,35,264,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,0.0,0.3,0.0,3.0
9064,1.0,1.0,52.34236,4.90407,2.0,1.0,1.0,0.0,170.0,2.0,365,2.0,2.0,365,365.0,2.0,365.0,0.0,5.0,12,12,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.94
9065,1.0,1.0,52.36334044276522,4.8657934284063185,2.0,1.0,1.0,0.0,202.0,2.0,7,2.0,2.0,7,7.0,2.0,7.0,11.0,11.0,27,55,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9066,14.0,31.0,52.37664026671359,4.892925160714562,2.0,1.0,1.0,1.0,129.0,1.0,365,1.0,1.0,365,365.0,1.0,365.0,0.0,0.0,25,25,2.0,2.0,1.0,4.9,4.9,4.8,4.9,4.9,4.8,4.7,4.0,2.0,2.0,0.0,1.5
9067,1.0,1.0,52.363700385189546,4.853609866378192,3.0,1.0,1.0,1.0,230.0,2.0,365,2.0,2.0,365,365.0,2.0,365.0,3.0,13.0,34,34,1.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,4.8,4.0,1.0,1.0,0.0,0.0,1.0
9068,2.0,2.0,52.37661652794014,4.872837815134236,2.0,1.0,1.0,2.0,147.0,1.0,365,1.0,1.0,365,365.0,1.0,365.0,16.0,46.0,76,255,0.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,4.8,4.0,2.0,0.0,2.0,0.0,1.0
9069,1.0,2.0,52.409133,4.901989599999999,4.0,2.0,4.0,4.0,250.0,7.0,21,7.0,7.0,21,21.0,7.0,21.0,0.0,0.0,0,22,0.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,4.8,4.0,1.0,1.0,0.0,0.0,1.0
9070,2.0,2.0,52.345200183058765,4.865669322564357,4.0,2.0,2.0,2.0,450.0,13.0,30,13.0,13.0,30,30.0,13.0,30.0,23.0,53.0,83,343,0.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,4.8,4.0,1.0,1.0,0.0,0.0,1.0
